SheetNo,GPSMarker,RecordingFileName,Region,TransectID,Site,Point,Visit,LatitudeHr,LatitudeMin,LatitudeSec,LongitudeHr,LongitudeMin,LongitudeSec,Elevation,Year,Month,Day,CloudCover,Precipitation,BeaufortWindScale,nHikers,Observer,StartTimeHr,StartTimeMin,BirdNo,Species,DistanceBin,TimeBin,Quadrant,Flock,IndividualComments,RecordingChecks,SurveyComments
1,24,STE-039,LowerMainland,1,CRRP,1,1,49,21,287,123,6,736,80,2023,2,8,0,0,1,,RM,7,56,1,GCKI,A,A,1,,,,
1,24,STE-039,LowerMainland,1,CRRP,1,1,49,21,287,123,6,736,80,2023,2,8,0,0,1,,RM,7,56,2,CBCH,A,A,1,,,,
1,24,STE-039,LowerMainland,1,CRRP,1,1,49,21,287,123,6,736,80,2023,2,8,0,0,1,,RM,7,56,3,UNID,B,A,1,,Countercall Bird 6,,
1,24,STE-039,LowerMainland,1,CRRP,1,1,49,21,287,123,6,736,80,2023,2,8,0,0,1,,RM,7,56,4,PAWR,B,B,1,,Check time: 2.5-5 min or 5-7.5 min,,
1,24,STE-039,LowerMainland,1,CRRP,1,1,49,21,287,123,6,736,80,2023,2,8,0,0,1,,RM,7,56,5,GCKI,A,A,4,,,,
1,24,STE-039,LowerMainland,1,CRRP,1,1,49,21,287,123,6,736,80,2023,2,8,0,0,1,,RM,7,56,6,UNID,B,A,4,,Countercall Bird 3,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,1,BCCH,A,A,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,2,BCCH,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,3,BCCH,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,4,EUST,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,5,EUST,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,6,EUST,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,7,EUST,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,8,EUST,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,9,EUST,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,10,EUST,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,11,EUST,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,12,NOFL,A,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,13,BCCH,B,B,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,14,AMCR,C,A,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,15,SOSP,C,C,1,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,16,DEJU,A,A,2,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,17,NOFL,A,A,2,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,18,DEJU,A,B,2,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,19,BCCH,A,C,2,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,20,BCCH,A,C,2,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,21,STJA,C,A,2,,Countercall Bird 22,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,22,STJA,C,A,2,,Countercall Bird 21,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,23,SPTO,A,A,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,24,BCCH,A,D,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,25,BCCH,B,A,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,26,STJA,B,B,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,27,BCCH,B,C,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,28,UNID,B,D,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,29,SOSP,C,C,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,30,EUST,E,D,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,31,EUST,E,D,3,,,,
